index,name,source,elapsed_s,image,technical_pass,gate,workflow
1,A1_GOTHIC_NEON,Civitai model 888231/version 3022620 + local Telegram neon/CCD lighting grammar,66.2,STYLEX-A1_GOTHIC_NEON_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 62.1, ""contrast"": 63.51, ""edge_score"": 3082.85, ""size"": [768, 1152]}",C:\AI\workflows\STYLE_EXPANSION_CIVITAI_TG_20260724\A1_GOTHIC_NEON.json
2,A2_DARK_ART,Civitai model 1380736/version 2817661; author trigger and weight 1.0,64.1,STYLEX-A2_DARK_ART_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 28.25, ""contrast"": 35.49, ""edge_score"": 1064.9, ""size"": [768, 1152]}",C:\AI\workflows\STYLE_EXPANSION_CIVITAI_TG_20260724\A2_DARK_ART.json
3,A3_MYTHIC_COLORLINES,Civitai model 599757/version 3016131; author colorful-lines Anima style,64.1,STYLEX-A3_MYTHIC_COLORLINES_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 122.46, ""contrast"": 76.86, ""edge_score"": 4383.06, ""size"": [768, 1152]}",C:\AI\workflows\STYLE_EXPANSION_CIVITAI_TG_20260724\A3_MYTHIC_COLORLINES.json
4,A4_DRAMATIC_DAPPLED,Civitai model 661736/version 3126711 (Anima V2); s1_dram + dappled light,62.2,STYLEX-A4_DRAMATIC_DAPPLED_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 70.8, ""contrast"": 65.25, ""edge_score"": 1595.61, ""size"": [768, 1152]}",C:\AI\workflows\STYLE_EXPANSION_CIVITAI_TG_20260724\A4_DRAMATIC_DAPPLED.json
5,A5_WAI17_CLEAN_ADULT,Civitai model 827184/version 2883731; author v17 settings,26.1,STYLEX-A5_WAI17_CLEAN_ADULT_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 98.86, ""contrast"": 79.19, ""edge_score"": 1231.93, ""size"": [896, 1216]}",C:\AI\workflows\STYLE_EXPANSION_CIVITAI_TG_20260724\A5_WAI17_CLEAN_ADULT.json
