index,name,family,evidence,elapsed_s,image,technical_pass,gate,workflow
1,A1_MOODY_ANIMA_AUTHOR_NATIVE,Anima,Telegram+Civitai author,14.1,TGCIV6-A1_MOODY_ANIMA_AUTHOR_NATIVE_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 197.01, ""contrast"": 56.43, ""edge_score"": 1129.59, ""size"": [832, 1216]}",C:\AI\workflows\TG_CIVITAI_6_20260724\A1_MOODY_ANIMA_AUTHOR_NATIVE.json
2,A2_ANIMA_NIJI_FULL,Anima,local proven + Telegram,22.1,TGCIV6-A2_ANIMA_NIJI_FULL_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 135.06, ""contrast"": 64.62, ""edge_score"": 1575.67, ""size"": [768, 1152]}",C:\AI\workflows\TG_CIVITAI_6_20260724\A2_ANIMA_NIJI_FULL.json
3,Z1_MOODY_SDA49_AUTHOR,Z-Image,Civitai author core,70.2,TGCIV6-Z1_MOODY_SDA49_AUTHOR_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 159.34, ""contrast"": 47.98, ""edge_score"": 354.41, ""size"": [640, 960]}",C:\AI\workflows\TG_CIVITAI_6_20260724\Z1_MOODY_SDA49_AUTHOR.json
4,Z2_DIVING_RES2S_PROVEN,Z-Image,local proven,78.3,TGCIV6-Z2_DIVING_RES2S_PROVEN_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 191.85, ""contrast"": 50.53, ""edge_score"": 406.41, ""size"": [576, 800]}",C:\AI\workflows\TG_CIVITAI_6_20260724\Z2_DIVING_RES2S_PROVEN.json
5,S1_AMIX_RIMIX065_FULL,SDXL/Illustrious,local proven,28.1,TGCIV6-S1_AMIX_RIMIX065_FULL_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 170.42, ""contrast"": 58.48, ""edge_score"": 804.41, ""size"": [768, 1152]}",C:\AI\workflows\TG_CIVITAI_6_20260724\S1_AMIX_RIMIX065_FULL.json
6,S2_ONEOBSESSION_FULL,SDXL/Illustrious,local proven,28.2,TGCIV6-S2_ONEOBSESSION_FULL_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 161.59, ""contrast"": 73.5, ""edge_score"": 1572.29, ""size"": [832, 1216]}",C:\AI\workflows\TG_CIVITAI_6_20260724\S2_ONEOBSESSION_FULL.json
