index,name,family,elapsed_s,image,technical_pass,gate,workflow
1,A4B_ANIMA_RIMIX_ALPHA_NSFW_CLEAN,Anima,66.2,ADV8-A4B_ANIMA_RIMIX_ALPHA_NSFW_CLEAN_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 108.7, ""contrast"": 51.86, ""edge_score"": 310.11, ""size"": [768, 1152]}",C:\AI\workflows\TG_CIVITAI_ADV_CINEMATIC_20260724\A4B_ANIMA_RIMIX_ALPHA_NSFW_CLEAN.json
2,S3B_ONEOBSESSION_CINEMATIC_SFW_CLEAN,SDXL/Illustrious,28.1,ADV8-S3B_ONEOBSESSION_CINEMATIC_SFW_CLEAN_00001_.png,True,"{""pass"": true, ""reasons"": [], ""mean_luma"": 118.45, ""contrast"": 64.33, ""edge_score"": 789.96, ""size"": [832, 1216]}",C:\AI\workflows\TG_CIVITAI_ADV_CINEMATIC_20260724\S3B_ONEOBSESSION_CINEMATIC_SFW_CLEAN.json
